number_of_dice,one,two,three,four,five,six,seven,eight,nine,ten,eleven,twelve,thirteen,fourteen,fifteen,sixteen,seventeen,eighteen,nineteen,twenty,twenty-one,twenty-two,twenty-three,twenty-four,twenty-five,twenty-six,twenty-seven,twenty-eight,twenty-nine,thirty
1,0.33333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,0.55555556,0.11111111,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,0.7037037,0.25925926,0.03703704,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,0.80246914,0.40740741,0.11111111,0.01234568,,,,,,,,,,,,,,,,,,,,,,,,,,
5,0.86831276,0.53909465,0.20987654,0.04526749,0.00411523,,,,,,,,,,,,,,,,,,,,,,,,,
6,0.9122085,0.64883402,0.31961591,0.10013717,0.01783265,0.00137174,,,,,,,,,,,,,,,,,,,,,,,,
7,0.94147234,0.73662551,0.42935528,0.17329675,0.04526749,0.00685871,0.00045725,,,,,,,,,,,,,,,,,,,,,,,
8,0.96098156,0.80490779,0.53177869,0.2586496,0.08794391,0.01966164,0.00259107,0.00015242,,,,,,,,,,,,,,,,,,,,,,
9,0.97398771,0.85693238,0.62282172,0.34969263,0.14484581,0.04242239,0.00828126,0.0009653,5.081e-05,,,,,,,,,,,,,,,,,,,,,
10,0.98265847,0.89595082,0.70085861,0.44073566,0.21312808,0.07656353,0.01966164,0.00340395,0.00035564,1.694e-05,,,,,,,,,,,,,,,,,,,,
