number_of_dice,one,two,three,four,five,six,seven,eight,nine,ten,eleven,twelve,thirteen,fourteen,fifteen,sixteen,seventeen,eighteen,nineteen,twenty,twenty-one,twenty-two,twenty-three,twenty-four,twenty-five,twenty-six,twenty-seven,twenty-eight,twenty-nine,thirty
1,0.16666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,0.30555556,0.02777778,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,0.4212963,0.07407407,0.00462963,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,0.51774691,0.13194444,0.0162037,0.0007716,,,,,,,,,,,,,,,,,,,,,,,,,,
5,0.59812243,0.19624486,0.03549383,0.00334362,0.0001286,,,,,,,,,,,,,,,,,,,,,,,,,
6,0.66510202,0.26322445,0.06228567,0.00870199,0.00066444,2.143e-05,,,,,,,,,,,,,,,,,,,,,,,,
7,0.72091835,0.33020405,0.09577546,0.0176326,0.00200403,0.0001286,3.57e-06,,,,,,,,,,,,,,,,,,,,,,,
8,0.76743196,0.3953231,0.13484689,0.03065641,0.00460879,0.00044117,2.441e-05,6e-07,,,,,,,,,,,,,,,,,,,,,,
9,0.8061933,0.45734124,0.17825959,0.04802149,0.00895006,0.00113578,9.387e-05,4.56e-06,1e-07,,,,,,,,,,,,,,,,,,,,,
10,0.83849442,0.51548325,0.2247732,0.06972784,0.01546197,0.00243816,0.00026752,1.945e-05,8.4e-07,2e-08,,,,,,,,,,,,,,,,,,,,
11,0.86541201,0.56931845,0.27322488,0.09556874,0.02450628,0.00460879,0.00062929,6.079e-05,3.94e-06,1.5e-07,0.0,,,,,,,,,,,,,,,,,,,


